group	format	media	author	blurb	url	img	title
2	web	Article	United Nations	The UN-backed credibility standards	https://www.un.org/en/climatechange/high-level-expert-group	highlevel_cover01_-_new_bussiness.png	Credibility and Accountability of Net-Zero Emissions Commitments of Non-State Entities
2	web	Guide	UN Environment Programme (UNEP)	This playbook, co-published by UNEP and UN Climate Change, offers guidance for aligning fashion industry communication with sustainability goals	https://www.unep.org/resources/publication/sustainable-fashion-communication-playbook	MicrosoftTeams-image.png	The Sustainable Fashion Communication Playbook
2	web	Article	Ethical Consumer	UK focused guide on buying sustainably with brand ratings (behind paywall)	https://www.ethicalconsumer.org/fashion-clothing/shopping-guide/ethical-clothing-brands	ethical-consumer.png	Ethical Clothing Brands
2	web	Report	Changing Markets Foundation	Brand analysis	http://changingmarkets.org/wp-content/uploads/2021/07/SyntheticsAnonymous_FinalWeb.pdf	Header-2.jpg	Synthetics Anonymous: Fashion brands’ addiction to fossil fuels
2	web	Report	Changing Markets Foundation		http://changingmarkets.org/wp-content/uploads/2021/01/FOSSIL-FASHION_Web-compressed.pdf	Fossil-Fashion-scaled.jpg	Fossil Fashion: The hidden reliance of fast fashion on fossil fuels
2	web	Report	Changing Markets Foundation	How certification is hindering sustainability in the textiles, palm oil and fisheries industries	https://changingmarkets.org/wp-content/uploads/2018/06/THE_FALSE_PROMISE_OF_CERTIFICATION_FINAL_WEB.pdf	False-promise-image.png	The false promise of certification
2	web	Report	Geneva Center For Business And Human Rights	Critical assessment of fashion industry’s sustainability claims	https://eco-age.com/wp-content/uploads/2021/09/REPORT_Final_72dpi2.pdf	2021-09-15great-greenwashing-machine.png	The Great Green Washing Machine: Back To The Roots Of Sustainability
1	book	Book	Tansy Hoskins		https://www.plutobooks.com/9780745346618/the-anti-capitalist-book-of-fashion	9780745346618.jpg	The Anti-Capitalist Book Of Fashion
1	book	Book	Aja Barer		https://www.waterstones.com/book/consumed/aja-barber/9781914240096	6117GYnUfZL._SL1500_.jpg	Consumed
1	book	Book	Orsola De Castro	Offers practical tips for extending the life of clothes, promoting a more sustainable lifestyle. Encourages careful shopping habits, mending, re-wearing, and reducing the carbon footprint through care and maintenance.	https://www.penguin.co.uk/books/317512/loved-clothes-last-by-castro-orsola-de/9780241461150	9780241461150-jacket-large.jpg	Loved Clothes Last
0	video	Documentary	Life Is My Movie Entertainment		https://www.youtube.com/watch?v=rwp0Bx0awoE	True-cost-cover.jpg	The True Cost
0	video	Documentary	Channel 4		https://youtube.com/watch?v=LYEm9BR4zVA	maxresdefault.jpg	Inside The Shein Machine
3	web	Campaign		A grassroots campaign promoting solidarity among workers globally. Focuses on creating a new garment industry model through sourcing from unionised factories and fighting against sweatshops.	https://www.fashionrevolution.org/	FRW-2019.jpg	Fashion Revolution
3	web	Campaign		A campaign advocating for a clean, safe, fair, transparent, and accountable fashion industry.	https://nosweat.org.uk/	no-sweat-tshirt-infographic.jpg	No Sweat
3	web	Campaign			https://www.greenpeace.org.uk/news/fashion-greenwash-report-companies-hiding-true-environmental-costs-fast-fashion/	78fa50f4-gp0stvo3d_medium_res.jpg	Greenpeace
